,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,   ,,,,,,,,,,,,,,,,,,,,,,
,,          ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GENERO,USO,MODELO,ESTADO CIVIL,TIEMPO CREDITO,COLOR,TIEMPO CREDITO,ESTADO DEL VH
,,,,,,,,,,,,,,,,,HOMBRE,COMERCIAL,Chevrolet Sail,SOLTERO/A,1,NEGRO,HASTA 3 A 5 AÑOS,NUEVO
,,,,,,,,,,,,,,,,,MUJER,PARTICULAR,Chevrolet Aveo,CASADO/A,2,AMARILLO TAXI,,USADO
,,NOMBRE  ,JUANITO,,MARCA  ,Chevrolet Aveo,,TASA,,CUOTA,,,,,,,TERCERA EDAD,CORPORATIVO,Chevrolet D-Max,,3,MARRON,,
,,,,,,,,0.03555555555555556,,101.76804068794077,,,,,,,,,Grand Vitara,,4,AZUL,,
,,ESTADO CIVIL  ,CASADO/A,,MODELO  ,AMAROK,,,,,,,,,0.042,,,,Kia Sportage,,5,VERDE,,
,,,,,,,,,,,,,,,0.036,,,,Hyundai Tucson,,,ROJO,,
,,EDAD  ,50,,COLOR  ,PLATA,,RIESGO  ,ALTO,,,,,,0.042,,,,Hyundai Accent,,,GRIS OSCURO,,
,,,,,,,,,,,,,,,0.042,,,,Kia Rio,,,BLANCO,,
,,CIUDAD  ,MANTA,,USO  ,PARTICULAR,,,,,,,,,0.029,,,,Nissan Sentra,,,PLATA,,
,,,,,,,,,,,,,,,0.036,,,,Suzuki Vitara SZ,,,,,
,,GÉNERO  ,HOMBRE,,ESTADO DEL VH  ,USADO,,,,,,,,,0.029,,,,Mitsubishi Montero,,,,,
,,,,,,,,,,,,,,,0.029,,,,MAZDA BT50,,,,,
,,,,,VALOR ASEGURADO  ,40000,,,,,,,,,0.035,,,,AMAROK,,,,,
,,,,,,,,,,,,,,,,,,,F150,,,,,
,,,,,AÑOS DE SEGURO  ,4,,,,,,,,,,,,,Volkswagen T-Cross,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen Nuevo Virtus,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen Nivus,,,,,
,,,,,,,,,,,,,,,,,,,Toyota Corolla,,,,,
,,,,,,,,,,,,,,,,,,,Nissan Qashqai,,,,,
,,,,,,,,,,,,,,,1,,,,Mistubishi Outlander,,,,,
,,PÉRDIDAS PARCIALES  ,20% DEL VALOR DEL SINIESTRO MÍNIMO 700,,,,,,,,,,,,,,,,KIA K3,,,,,
,,,,,,,,,,,,,,,,,,,K3 Cross,,,,,
,,PÉRDIDAS TOTALES  ,20% DEL VALOR ASEGURADO,,,,,,,,,,,,,,,,Chevrolet Tracker,,,,,
,,,,,,,,,,,,,,,,,,,Volvo,,,,,
,,,,,,,,,,,,,,,,,,,BMW,,,,,
,,,,,,,,,,,,,,,,,,,Mercedes-Benz,,,,,
,,,,,,,,,,,,,,,,,,,Audi,,,,,
,,,,,,,,,,,,,,,,,,,HONDA,,,,,
,,,,,,,,,,,,,,,,,,,SUBARU,,,,,
,,,,,,,,,,,,,,,,,,,BYD,,,,,
,,,,,,,,,,,,,,,,,,,GEELY,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen Passat,,,,,
,,,,,,,,,,,,,,,,,,,Mazda CX-80,,,,,
,,,,,,,,,,,,,,,,,,,Audi Q6 e-tron,,,,,
,,,,,,,,,,,,,,,,,,,Zeekr X,,,,,
,,,,,,,,,,,,,,,,,,,Maxus eTERRON 9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
