,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TASA,TIPO SINIESTRALIDAD,RIESGO,RIESGO MODELO,MONTO ASEGURADO,RIESGO CIUDADES,RIESGO GENERO,RIESGO USO,COLOR,ESTADO CIVIL,EDAD
,0.042,ALTA,1,"Chevrolet Sail, Chevrolet Aveo, Chevrolet D-Max, Grand Vitara
Kia Sportage, Hyundai Tucson, Hyundai Accent,  Kia Rio
Nissan Sentra, Suzuki Vitara SZ, Mitsubishi Montero, MAZDA BT50, AMAROK, F150",0 A 20000,"Guayaquil, Quito, Santo Domingo, Babahoyo, Quevedo, La Maná, Manta, Chone, Portoviejo, Quito, Machala",HOMBRE 85%,COMERCIAL,"NEGRO, AMARILLO TAXI, MARRON, AZUL, VERDE",SOLTERO/A,16 A 25
,0.036,MODERADA,2,"Volkswagen T-Cross, Volkswagen Nuevo Virtus, Volkswagen Nivus, Toyota Corolla,Nissan Qashqai, Mistubishi Outlander, KIA K3/K3 Cross, Chevrolet Tracker",20001 A 30000,"Cuenca, Ambato, Ibarra, Riobamba, Latacunga, Guaranda",MUJER 15%,PARTICULAR,"ROJO, AZUL, GRIS OSCURO",CASADO/A,25 A 44
,0.029,BAJA,3,"Volvo, BMW, Mercedes-Benz, Audi, HONDA, SUBARU, BYD, GEELY, Volkswagen Passat, Mazda CX-80, Audi Q6 e-tron, Zeekr X, Maxus eTERRON 9",30001 EN ADELANTE,"Loja, Tulcan, Baños, Tena, Galapagos",TERCERA EDAD ,CORPORATIVO,"BLANCO , PLATA",,45 EN ADELANTE
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TASA,TIEMPO DE CRÉDITO,RIESGO MARCAS,RIESGO CIUDADES,RIESGO GENERO,RIESGO USO,,,,,
,0.036,HASTA 2 AÑOS,1,1,1,1,,,,,
,0.034,HASTA 2 AÑOS,2,2,2,2,,,,,
,0.032,HASTA 2 AÑOS,3,3,3,3,,,,,
,0.035,HASTA 3 A 5 AÑOS,1,1,1,1,,,,,
,0.033,HASTA 3 A 5 AÑOS,2,2,2,2,,,,,
,0.031,HASTA 3 A 5 AÑOS,3,3,3,3,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TIPO,DEPRECIACIÓN,,,,,,,,,
,NUEVO PRIMER AÑO,0.1,,,,,,,,,
,NUEVO A PARTIR DEL SEGUNDO AÑO,0.15,,,,,,,,,
,USADO PRIMER AÑO,0.15,,,,,,,,,
,USADO A PARTIR DEL SEGUNDO AÑO,0.18,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,RIESGO,PÉRDIDAS PARCIALES,PÉRDIDAS TOTALES,,,,,,,,
,ALTO,20% DEL VALOR DEL SINIESTRO MÍNIMO 700,20% DEL VALOR ASEGURADO,,,,,,,,
,MODERADO,15% DEL VALOR DEL SINIESTRO MÍNIMO 500,18% DEL VALOR ASEGURADO,,,,,,,,
,BAJO,10% DEL VALOR DEL SINIESTRO MÍNIMO 300,15% DEL VALOR ASEGURADO,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
