marca,modelo,nivel_riesgo
Chevrolet,Sail,1
Chevrolet,Aveo,1
Chevrolet,D-Max,1
Suzuki,Grand Vitara,1
Kia,Sportage,1
Hyundai,Tucson,1
Hyundai,Accent,1
Kia,Rio,1
Nissan,Sentra,1
Suzuki,Vitara SZ,1
Mitsubishi,Montero,1
Mazda,BT50,1
Volkswagen,Amarok,1
Ford,F150,1
Volkswagen,T-Cross,2
Volkswagen,Nuevo Virtus,2
Volkswagen,Nivus,2
Toyota,Corolla,2
Nissan,Qashqai,2
Mitsubishi,Outlander,2
Kia,K3,2
Kia,K3 Cross,2
Chevrolet,Tracker,2
Volvo,(generico),3
BMW,(generico),3
Mercedes-Benz,(generico),3
Audi,(generico),3
Honda,(generico),3
Subaru,(generico),3
BYD,(generico),3
Geely,(generico),3
Volkswagen,Passat,3
Mazda,CX-80,3
Audi,Q6 e-tron,3
Zeekr,X,3
Maxus,eTERRON 9,3
