tipo_vehiculo,tiempo_credito,riesgo_marca,riesgo_ciudad,riesgo_genero,riesgo_uso,depreciacion,tasa
VH USADOS Y NUEVOS LIVIANOS PARTICULARES,HASTA 2 AÑOS,1,1,1,1,0.18,0.036
VH USADOS Y NUEVOS LIVIANOS PARTICULARES,HASTA 2 AÑOS,2,2,2,2,0.15,0.034
VH USADOS Y NUEVOS LIVIANOS PARTICULARES,HASTA 2 AÑOS,3,3,3,3,0.10,0.032
VH USADOS Y NUEVOS LIVIANOS PARTICULARES,HASTA 3 A 5 AÑOS,1,1,1,1,0.18,0.035
VH USADOS Y NUEVOS LIVIANOS PARTICULARES,HASTA 3 A 5 AÑOS,2,2,2,2,0.15,0.033
VH USADOS Y NUEVOS LIVIANOS PARTICULARES,HASTA 3 A 5 AÑOS,3,3,3,3,0.10,0.031
VH LIVIANOS NUEVOS Y USADOS ALTA GAMA (40.000.00 EN ADELANTE),DE 1 A 5 AÑOS,1,1,1,1,0.15,0.029
VH LIVIANOS NUEVOS Y USADOS ALTA GAMA (40.000.00 EN ADELANTE),DE 1 A 5 AÑOS,2,2,2,2,0.15,0.027
VH LIVIANOS NUEVOS Y USADOS ALTA GAMA (40.000.00 EN ADELANTE),DE 1 A 5 AÑOS,3,3,3,3,0.15,0.025
VH DE ALQUILER,DE 1 A 5 AÑOS,1,1,1,1,0.18,0.049
VH DE ALQUILER,DE 1 A 5 AÑOS,2,2,2,1,0.15,0.046
VH DE ALQUILER,DE 1 A 5 AÑOS,3,3,3,1,0.12,0.044
